"denuncia_numero","hecho_fecha_hora","hecho_provincia","hecho_municipio","hecho_localidad","hecho_discriminacion","hecho_irregularidades","hecho_lugar","hecho_cometido_por","hecho_tipo_violencia","hecho_accion_realizada","denuncia_estado","denuncia_fecha_cambio_estado","denuncia_via_ingreso","denuncia_fecha_hora_carga","hecho_provincia_id"
493,"2013-02-12 00:00:00","Buenos Aires","Vicente López","Vicente López","","","En el interior del local","Personas vinculadas a la empresa - Policias","Agresión física","Se hizo denuncia policial","Derivado","2013-04-15","Call Center","2013-03-12 16:48:00","06"
494,"2013-03-09 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2013-03-15","Página web de RENCAP ","2013-03-13 16:11:00","02"
495,"2013-03-17 03:00:00","Buenos Aires","General Pueyrredón","Mar del Plata","Por aspecto físico","","En el acceso local","","","","Derivado","2013-03-22","Página web de RENCAP ","2013-03-18 09:36:00","06"
496,"2013-03-17 06:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2013-04-05","Call Center","2013-03-19 18:48:00","02"
497,"2013-03-07 00:30:00","Buenos Aires","Quilmes","Bernal","Por ideologia","","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Derivado","2013-04-04","Página web de RENCAP ","2013-03-23 13:00:00","06"
498,"2013-03-09 05:00:00","Mendoza","Mendoza","","Racial","","En el acceso local","Controladores","Agresión física","","Derivado","2013-04-04","Call Center","2013-03-25 14:52:00","50"
499,"2013-03-24 05:00:00","Buenos Aires","Bahía Blanca","Bahía Blanca","","","En el interior del local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2013-04-04","Call Center","2013-03-26 13:47:00","06"
500,"2013-03-31 00:05:00","Buenos Aires","San Miguel","San Miguel","Por orientacion sexual","","","Personal de empresas de seguridad","","","Derivado","2013-04-05","Página web de RENCAP ","2013-03-31 04:07:00","06"
501,"2013-04-06 01:00:00","Buenos Aires","San Miguel","San Miguel","Por indumentaria","","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-04-12","Página web de RENCAP ","2013-04-08 10:47:00","06"
502,"2013-04-07 02:30:00","Buenos Aires","Suipacha","","Por orientacion sexual","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2013-04-09","Call Center","2013-04-08 12:31:00","06"
503,"2013-04-07 06:30:00","Ciudad Autónoma de Buenos Aires","Barrio San Telmo","","","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-04-09","Call Center","2013-04-08 15:02:00","02"
504,"2013-04-05 11:56:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por ideologia","El personal de control no esta identificado","","","","","Derivado","2013-04-12","Página web de RENCAP ","2013-04-09 14:13:00","02"
505,"2013-04-06 03:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","","","","","Derivado","2013-04-18","Página web de RENCAP ","2013-04-10 12:20:00","02"
506,"2013-04-06 01:30:00","Buenos Aires","General San Martín","Gral. San Martín","Por aspecto físico","Presencia de menores","En el acceso local","Controladores","","","Derivado","2013-04-18","Call Center","2013-04-10 17:53:00","06"
507,"2013-04-06 04:45:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación","","","","","Desestimado","2013-04-29","Página web de RENCAP ","2013-04-13 13:35:00","02"
508,"2013-04-05 22:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-04-18","Página web de RENCAP ","2013-04-14 22:01:00","02"
509,"2013-04-21 03:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Villa del Parque","Por aspecto físico","","","","","","Derivado","2013-04-22","Página web de RENCAP ","2013-04-21 15:42:00","02"
510,"2013-04-14 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","Racial","","En el acceso local","Controladores","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2015-11-19","Call Center","2013-04-24 12:58:00","02"
511,"2013-04-21 01:30:00","Buenos Aires","Lomas de Zamora","Banfield","Por aspecto físico","Presencia de menores","","","Agresión verbal","","Derivado","2013-04-30","Página web de RENCAP ","2013-04-25 15:45:00","06"
512,"2013-04-21 02:00:00","Buenos Aires","Lanús","Lanús","Por aspecto físico","","","","Agresión verbal","","Derivado","2013-04-30","Página web de RENCAP ","2013-04-25 15:48:00","06"
513,"2013-03-31 02:00:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Desestimado","2013-04-29","Página web de RENCAP ","2013-04-28 16:01:00","14"
514,"2013-04-28 02:00:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2013-04-30","Página web de RENCAP ","2013-04-28 16:10:00","14"
515,"2013-04-27 00:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2013-05-02","Call Center","2013-04-29 14:54:00","02"
516,"2013-05-01 12:00:00","Buenos Aires","Ituzaingó","Ituzaingo","Racial","","En el acceso local","Controladores","","","Derivado","2013-05-09","Call Center","2013-05-03 15:16:00","06"
517,"2010-06-19 03:00:00","Buenos Aires","Las Flores","Las Flores","","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Policias","Agresión física","","Desestimado","2013-05-20","Página web de RENCAP ","2013-05-08 16:53:00","06"
518,"2010-06-19 03:00:00","Buenos Aires","Las Flores","Las Flores","","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Policias","Agresión física","","Desestimado","2013-05-20","Página web de RENCAP ","2013-05-08 16:54:00","06"
519,"2013-05-11 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","","Presencia de menores","En el interior del local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2013-05-31","Página web de RENCAP ","2013-05-11 23:34:00","02"
520,"2013-05-18 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Pueyrredón","","Por aspecto físico - Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","","Derivado","2013-05-31","Página web de RENCAP ","2013-05-19 13:03:00","02"
521,"2013-05-18 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria - Racial","","En el acceso local","Controladores","","","Derivado","2013-05-30","Call Center","2013-05-20 14:43:00","02"
522,"2013-05-18 20:00:00","Ciudad Autónoma de Buenos Aires","Barrio San Telmo","","Por indumentaria","","En el acceso local","Controladores","","","Derivado","2013-05-30","Call Center","2013-05-21 13:34:00","02"
523,"2013-01-19 07:00:00","Buenos Aires","Escobar","Belén de Escobar","","","En las proximidades del local","","Agresión verbal - Agresión física","Se hizo denuncia policial","Derivado","2013-06-24","Página web de RENCAP ","2013-05-29 16:46:00","06"
524,"2013-06-02 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2013-07-05","Página web de RENCAP ","2013-06-02 12:32:00","02"
525,"2013-06-01 02:20:00","Tucumán","Juan Bautista Alberdi","JUAN BAUTISTA ALBERDI","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2014-04-23","Página web de RENCAP ","2013-06-03 15:14:00","90"
526,"2013-05-30 02:40:00","Ciudad Autónoma de Buenos Aires","Barrio Villa Devoto","","Por aspecto físico - Por indumentaria","Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","Agresión verbal - Agresión física","","Derivado","2013-07-05","Página web de RENCAP ","2013-06-07 12:03:00","02"
527,"2013-06-08 01:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico","","","","","","Derivado","2013-06-26","Página web de RENCAP ","2013-06-09 12:43:00","02"
528,"2013-06-08 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-07-01","Página web de RENCAP ","2013-06-09 17:59:00","02"
529,"2013-05-11 19:00:00","Buenos Aires","La Matanza","G. de Laferrere","Por ideologia","","En el interior del local","","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Desestimado","2013-06-25","Página web de RENCAP ","2013-06-13 15:09:00","06"
530,"2013-06-15 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión física","","Desestimado","2013-06-25","Página web de RENCAP ","2013-06-16 13:49:00","02"
531,"2013-06-22 02:50:00","Córdoba","Villa Dolores","VILLA DOLORES","Por orientacion sexual","","En el acceso local","","Agresión sexual","","Derivado","2013-06-25","Página web de RENCAP ","2013-06-22 12:53:00","14"
532,"2013-06-22 00:30:00","Tucumán","Yerba Buena","YERBA BUENA","Por orientacion sexual","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2014-04-23","Página web de RENCAP ","2013-06-22 13:52:00","90"
533,"2013-06-23 05:00:00","Buenos Aires","Vicente López","Olivos","","","En el interior del local - En las proximidades del local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2013-07-05","Página web de RENCAP ","2013-06-23 22:36:00","06"
534,"2013-06-23 04:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2013-06-26","Página web de RENCAP ","2013-06-23 22:46:00","02"
535,"2013-06-21 03:03:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","","","Agresión física","","Derivado","2013-07-01","Página web de RENCAP ","2013-06-23 22:47:00","02"
536,"2013-06-22 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","Racial","","","","","","Derivado","2013-07-01","Página web de RENCAP ","2013-06-23 23:15:00","02"
537,"2013-06-21 00:50:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Racial","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión sexual","","Derivado","2013-07-05","Página web de RENCAP ","2013-06-24 00:55:00","02"
538,"2013-06-16 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-06-26","Call Center","2013-06-25 13:16:00","02"
539,"2013-06-22 19:51:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Racial","","En el acceso local","Controladores","","","Derivado","2013-06-26","Call Center","2013-06-25 13:36:00","02"
540,"2013-06-28 02:00:00","Salta","Salta","SALTA","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-07-01","Call Center","2013-06-28 14:35:00","66"
541,"2013-06-27 20:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","","En el acceso local","Controladores","","","Derivado","2013-07-01","Call Center","2013-06-28 14:51:00","02"
542,"2013-06-28 03:20:00","Salta","Salta","SALTA","Por aspecto físico - Por indumentaria","","En el interior del local - En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","Se solicitó asistencia policial - Se hizo denuncia policial","Desestimado","2013-07-01","Página web de RENCAP ","2013-06-29 00:35:00","66"
543,"2013-06-29 04:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-07-18","Página web de RENCAP ","2013-06-29 13:37:00","02"
544,"2013-06-30 02:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2013-07-24","Página web de RENCAP ","2013-07-01 23:27:00","02"
545,"2013-06-30 11:00:00","Mendoza","Luján de Cuyo","","Racial","","En el acceso local","Controladores","","","Derivado","2013-07-08","Call Center","2013-07-02 19:04:00","50"
546,"2013-06-30 01:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","","Por indumentaria - Por ideologia","No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores","","Se hizo denuncia policial","Derivado","2013-07-18","Call Center","2013-07-04 12:33:00","02"
547,"2013-07-07 03:00:00","Buenos Aires","Hurlingham","Hurlingham","Por aspecto físico - Por orientacion sexual","El personal de control no esta identificado","","","","","Derivado","2013-07-18","Página web de RENCAP ","2013-07-08 14:27:00","06"
548,"2013-07-06 22:22:00","Ciudad Autónoma de Buenos Aires","Barrio Villa del Parque","","","","En el interior del local","Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Desestimado","2013-07-24","Página web de RENCAP ","2013-07-08 18:44:00","02"
549,"2013-06-30 02:00:00","Buenos Aires","Lomas de Zamora","Lomas de Zamora","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-07-18","Call Center","2013-07-10 13:50:00","06"
550,"2013-06-23 05:30:00","Buenos Aires","Vicente López","Olivos","","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Derivado","2013-07-12","Página web de RENCAP ","2013-07-11 23:13:00","06"
551,"2013-06-08 01:20:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Por indumentaria","","En el acceso local","Controladores","","","Derivado","2013-07-29","Página web de RENCAP ","2013-07-14 05:19:00","02"
552,"2013-07-14 05:00:00","Buenos Aires","Tigre","Gral. Pacheco","","","En el interior del local","Controladores","Agresión física","","Derivado","2013-07-24","Call Center","2013-07-16 15:43:00","06"
553,"2013-07-18 21:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Controladores","Agresión verbal","","Derivado","2013-07-24","Call Center","2013-07-19 12:48:00","02"
554,"2013-07-21 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Por indumentaria","El personal de control no esta identificado","En el acceso local","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-07-29","Página web de RENCAP ","2013-07-21 05:25:00","02"
555,"2013-07-14 02:15:00","Buenos Aires","Lomas de Zamora","Temperley","Por aspecto físico","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2013-08-02","Call Center","2013-07-22 16:59:00","06"
556,"2013-07-21 02:30:00","Buenos Aires","La Plata","La Plata","Por orientacion sexual - Por indumentaria","","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-07-29","Página web de RENCAP ","2013-07-22 20:41:00","06"
557,"2013-07-21 02:50:00","Córdoba","Córdoba","CORDOBA","Por aspecto físico - Por orientacion sexual - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","","","","","Derivado","2013-08-05","Página web de RENCAP ","2013-07-24 09:53:00","14"
558,"2013-07-20 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Recoleta","","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-08-01","Call Center","2013-07-25 12:51:00","02"
559,"2013-07-06 05:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por orientacion sexual","","En el interior del local","Controladores","Agresión verbal","","Derivado","2013-08-02","Call Center","2013-07-25 13:04:00","02"
560,"2013-07-14 02:30:00","Buenos Aires","San Isidro","Boulonge Sur Mer","","","En el interior del local - En el acceso local","Controladores","Agresión física","Se hizo denuncia policial","Derivado","2013-08-02","Call Center","2013-07-26 12:38:00","06"
561,"2013-07-18 21:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personal de empresas de seguridad","Agresión verbal","","Derivado","2013-08-05","Página web de RENCAP ","2013-07-29 15:47:00","02"
562,"2013-07-27 02:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Capital Federal","","No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Desestimado","2013-08-20","Página web de RENCAP ","2013-07-29 18:00:00","02"
563,"2013-07-28 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","El personal de control no esta identificado","En el acceso local","Personal de empresas de seguridad","","","Derivado","2013-08-01","Call Center","2013-07-30 12:26:00","02"
564,"2013-07-28 04:00:00","Córdoba","Córdoba","","","","En el interior del local - En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2013-08-02","Call Center","2013-07-30 16:46:00","14"
565,"2013-08-01 00:32:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Palermo","","","En el acceso local - En las proximidades del local","","","","Desestimado","2013-09-02","Página web de RENCAP ","2013-08-02 00:34:00","02"
566,"2013-08-03 07:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el acceso local","","Agresión física","Se solicitó asistencia policial - Se hizo denuncia policial","Desestimado","2013-09-02","Página web de RENCAP ","2013-08-03 09:37:00","02"
567,"2013-08-03 02:20:00","Buenos Aires","General Pueyrredón","Mar del Plata","","","En el acceso local","Controladores","Agresión física","","Desestimado","2013-08-14","Página web de RENCAP ","2013-08-03 23:07:00","06"
568,"2013-08-04 05:00:00","Buenos Aires","Leandro N. Alem","Vedia","","Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","Se solicitó asistencia policial - Se hizo denuncia policial","Desestimado","2013-08-14","Página web de RENCAP ","2013-08-04 05:32:00","06"
569,"2013-08-03 02:11:00","Buenos Aires","Luján","Luján","Por aspecto físico","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Controladores - Personas vinculadas a la empresa","","","Desestimado","2013-08-20","Página web de RENCAP ","2013-08-05 13:12:00","06"
570,"2013-08-04 05:15:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","","","","","Agresión física","Se hizo denuncia policial","Derivado","2013-09-05","Call Center","2013-08-05 14:34:00","02"
571,"2013-08-03 01:30:00","Buenos Aires","La Plata","La Plata","Por orientacion sexual","","En el acceso local","Controladores","","","Derivado","2013-08-14","Call Center","2013-08-06 11:58:00","06"
572,"2013-08-17 00:50:00","Buenos Aires","General Pueyrredón","Mar del Plata","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-09-04","Página web de RENCAP ","2013-08-18 20:47:00","06"
573,"2013-08-18 12:00:00","Mendoza","Luján de Cuyo","LUJAN DE CUYO","","Hay mas personas que las permitidas por la habilitación","","","Agresión verbal","","Derivado","2013-09-05","Call Center","2013-08-19 21:35:00","50"
574,"2013-06-07 12:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2013-08-22","Call Center","2013-08-20 13:53:00","02"
575,"2013-08-04 03:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Racial","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-09-05","Call Center","2013-08-21 13:07:00","02"
576,"2013-08-19 02:20:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por indumentaria","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Personal de empresas de seguridad","Agresión verbal","","Derivado","2013-08-27","Página web de RENCAP ","2013-08-22 15:02:00","02"
577,"2013-08-20 02:25:00","Buenos Aires","Quilmes","Quilmes Oeste","Por orientacion sexual","","En el acceso local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-08-28","Call Center","2013-08-23 12:56:00","06"
578,"2013-08-24 08:00:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Villa del Parque","Por aspecto físico - Por indumentaria - Por ideologia - Racial","","En el acceso local","Controladores - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2013-09-04","Página web de RENCAP ","2013-08-25 11:37:00","02"
579,"2013-08-25 02:00:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico - Por indumentaria - Racial","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","","","Derivado","2013-09-05","Página web de RENCAP ","2013-08-26 19:38:00","06"
580,"2013-08-30 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico","","En el acceso local","Personal de empresas de seguridad","Agresión verbal","Se solicitó asistencia policial","Derivado","2013-09-06","Página web de RENCAP ","2013-08-31 04:25:00","02"
582,"2013-09-01 02:30:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico","","En el interior del local","Controladores","","","Derivado","2013-09-04","Call Center","2013-09-02 13:38:00","06"
583,"2013-08-30 04:43:00","Ciudad Autónoma de Buenos Aires","Barrio Flores","","","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","","Controladores - Personal de empresas de seguridad - Personas vinculadas a la empresa","Agresión verbal - Agresión física","","Derivado","2015-11-19","Página web de RENCAP ","2013-09-03 13:20:00","02"
590,"2013-08-31 04:30:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","Flores","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","","Controladores - Personas vinculadas a la empresa","Agresión física","","Derivado","2013-10-01","Página web de RENCAP ","2013-09-03 14:31:00","02"
599,"2013-09-03 11:11:00","Ciudad Autónoma de Buenos Aires","Barrio Montserrat","","Por aspecto físico","","","","Agresión sexual","","Desestimado","2013-09-09","Página web de RENCAP ","2013-09-05 15:24:00","02"
600,"2013-09-03 11:11:00","Ciudad Autónoma de Buenos Aires","Barrio Montserrat","","Por aspecto físico - Por orientacion sexual - Por indumentaria - Otros - Por religion - Por ideologia - Racial","","","","Agresión sexual","","Desestimado","2013-09-09","Página web de RENCAP ","2013-09-05 15:28:00","02"
601,"2013-08-28 21:30:00","Ciudad Autónoma de Buenos Aires","Barrio Balvanera","","Por aspecto físico - Racial","No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","En el acceso local","Personas vinculadas a la empresa","Agresión verbal","","Derivado","2013-09-10","Página web de RENCAP ","2013-09-05 15:45:00","02"
602,"2013-09-07 00:00:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por orientacion sexual - Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia","","Controladores - Personas vinculadas a la empresa","","","Derivado","2013-10-01","Página web de RENCAP ","2013-09-07 17:51:00","02"
603,"2013-08-08 02:30:00","San Juan","San Juan","SAN JUAN","Por aspecto físico","","En el acceso local","Controladores","","","Derivado","2013-09-10","Call Center","2013-09-10 12:29:00","70"
604,"2013-09-07 01:30:00","Buenos Aires","Lomas de Zamora","","Por aspecto físico","","","Controladores - Personas vinculadas a la empresa","","","Derivado","2013-09-11","Call Center","2013-09-10 13:31:00","06"
605,"2013-09-14 05:30:00","Buenos Aires","Lomas de Zamora","Temperley","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado","En el interior del local","","Agresión física","","Derivado","2013-10-02","Página web de RENCAP ","2013-09-14 14:28:00","06"
606,"2013-09-15 01:30:00","Ciudad Autónoma de Buenos Aires","Barrio Belgrano","","Por aspecto físico - Racial","Presencia de menores","En el acceso local","Personal de empresas de seguridad - Personas vinculadas a la empresa","","","Derivado","2013-09-20","Página web de RENCAP ","2013-09-15 15:35:00","02"
613,"2013-09-28 20:00:00","Buenos Aires","Ituzaingó","Ituzaingo","Por aspecto físico - Por indumentaria","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el acceso local","Controladores","Agresión verbal","","Derivado","2013-10-01","Página web de RENCAP ","2013-09-30 15:11:00","06"
614,"2013-09-21 04:00:00","Buenos Aires","Lanús","Lanús Oeste","","","En el interior del local - En el acceso local","Controladores","Agresión física","","Derivado","2013-10-24","Call Center","2013-10-01 14:25:00","06"
615,"2013-09-29 02:00:00","Ciudad Autónoma de Buenos Aires","Barrio Almagro","","","","En el interior del local","Controladores","Agresión verbal","","Derivado","2013-11-04","Call Center","2013-10-01 17:16:00","02"
616,"2013-10-06 02:30:00","Ciudad Autónoma de Buenos Aires","Barrio Palermo","","Por aspecto físico - Racial","","En el acceso local","Controladores","Agresión verbal","","Derivado","2013-10-23","Call Center","2013-10-10 16:49:00","02"
617,"2013-10-12 01:40:00","Ciudad Autónoma de Buenos Aires","Ciudad de Buenos Aires","San Nicolás","Otros - Racial","","En el acceso local - En las proximidades del local","Personal de empresas de seguridad","Agresión verbal","Se solicitó asistencia policial","Derivado","2013-11-04","Página web de RENCAP ","2013-10-13 19:02:00","02"
618,"2013-10-14 04:10:00","Ciudad Autónoma de Buenos Aires","Barrio Montserrat","","Otros","El personal de control no esta identificado - No exhibe condiciones de adminsión y permanencia - Presencia de menores","En el interior del local","Controladores","Agresión verbal - Agresión física","","Derivado","2013-10-30","Página web de RENCAP ","2013-10-14 20:01:00","02"
619,"2013-10-14 04:10:00","Ciudad Autónoma de Buenos Aires","Barrio Montserrat","","Otros","El personal de control no esta identificado","En el interior del local - En el acceso local","Controladores","Agresión verbal - Agresión física - Agresión sexual","","Derivado","2013-10-30","Página web de RENCAP ","2013-10-14 20:27:00","02"
620,"2013-10-14 04:10:00","Ciudad Autónoma de Buenos Aires","Barrio Montserrat","","Otros","El personal de control no esta identificado","En el interior del local","","Agresión verbal - Agresión física - Agresión sexual","","Derivado","2013-10-30","Página web de RENCAP ","2013-10-14 20:42:00","02"
621,"2013-10-13 03:30:00","Córdoba","Río Tercero","RIO TERCERO","Por aspecto físico - Racial","","En el acceso local","Controladores","","","Derivado","2013-10-23","Call Center","2013-10-15 16:25:00","14"
623,"2013-10-17 02:00:00","Buenos Aires","Morón","Castelar","Otros","El personal de control no esta identificado - No exhibe nomina de personal de control habilitado - No exhibe condiciones de adminsión y permanencia - Hay mas personas que las permitidas por la habilitación - Presencia de menores","","","","","Derivado","2013-11-04","Página web de RENCAP ","2013-10-22 13:22:00","06"
